,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
124020,NON-CRIMINAL,05/29/2009,Friday,"AIDED CASE, MENTAL DISTURBED",90555855,37TH AV / MORAGA ST,TARAVAL,NONE,19:04,-122.49589715593001,37.755249185075606,2009-05-29 19:04:00,0,060750351006001
11620,OTHER OFFENSES,02/01/2009,Sunday,OBSCENE PHONE CALLS(S),100363267,0 Block of MELROSE AV,INGLESIDE,NONE,09:00,-122.442562553746,37.7337016224593,2009-02-01 09:00:00,1,060750307002017
68243,FRAUD,09/26/2009,Saturday,"CREDIT CARD, THEFT BY USE OF",91014789,0 Block of SUTTER ST,CENTRAL,NONE,23:35,-122.40108574399099,37.790041327071,2009-09-26 23:35:00,2,060750117002014
38744,OTHER OFFENSES,07/14/2009,Tuesday,TRAFFIC VIOLATION,90715350,2900 Block of FOLSOM ST,MISSION,"ARREST, CITED",09:30,-122.41385455820101,37.7505967290454,2009-07-14 09:30:00,3,060750229012004
87480,WARRANTS,11/17/2009,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,91184887,3RD ST / INNES AV,BAYVIEW,"ARREST, BOOKED",17:54,-122.38903332744499,37.7395346503107,2009-11-17 17:54:00,4,060759809001127
51057,OTHER OFFENSES,08/15/2009,Saturday,VIOLATION OF MUNICIPAL CODE,90834615,1500 Block of 17TH ST,BAYVIEW,"ARREST, CITED",21:56,-122.399205156563,37.7650940635775,2009-08-15 21:56:00,5,060750607002021
9220,OTHER OFFENSES,01/25/2009,Sunday,PEDDLING WITHOUT A LICENSE,90091235,STEVENSON ST / 7TH ST,SOUTHERN,"ARREST, BOOKED",17:07,-122.411935615745,37.780006442029794,2009-01-25 17:07:00,6,060750176013001
78585,WEAPON LAWS,10/24/2009,Saturday,DISCHARGE FIREARM AT AN INHABITED DWELLING,91098987,200 Block of HARBOR RD,BAYVIEW,NONE,22:15,-122.379238315259,37.7330051148844,2009-10-24 22:15:00,7,060750231032008
23830,OTHER OFFENSES,03/05/2009,Thursday,RESISTING ARREST,90236390,EDDY ST / LAGUNA ST,NORTHERN,"ARREST, BOOKED",19:52,-122.427400263419,37.7820565475813,2009-03-05 19:52:00,8,060750159001010
91443,VANDALISM,11/28/2009,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",91221962,TURK ST / LAGUNA ST,NORTHERN,NONE,20:20,-122.427206305932,37.781117525637605,2009-11-28 20:20:00,9,060750161004006
83981,OTHER OFFENSES,11/07/2009,Saturday,MISCELLANEOUS STATE MISDEMEANOR,91150270,900 Block of MONTGOMERY ST,CENTRAL,"ARREST, CITED",23:26,-122.40363830612101,37.797311543828,2009-11-07 23:26:00,10,060750106002007
34266,FORGERY/COUNTERFEITING,07/01/2009,Wednesday,"FORGERY, DRIVERS LICENSE OR ID-CARD",91241017,800 Block of PACIFIC AV,CENTRAL,NONE,08:00,-122.40999351684601,37.79647010712,2009-07-01 08:00:00,11,060750113001001
