,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
9908,LARCENY/THEFT,02/04/2012,Saturday,PETTY THEFT FROM A BUILDING,120098234,800 Block of HOWARD ST,SOUTHERN,NONE,14:30,-122.402690817153,37.7832295730415,2012-02-04 14:30:00,0,060750178011002
2305,LARCENY/THEFT,01/08/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,120021558,HOWARD ST / FREMONT ST,SOUTHERN,NONE,13:00,-122.395153862803,37.7892350328801,2012-01-08 13:00:00,1,060750615001020
29303,VEHICLE THEFT,03/09/2012,Friday,STOLEN AUTOMOBILE,120197682,EDDY ST / VANNESS AV,NORTHERN,NONE,19:20,-122.420818330445,37.782894645091204,2012-03-09 19:20:00,2,060750124023002
46874,LARCENY/THEFT,06/04/2012,Monday,GRAND THEFT FROM LOCKED AUTO,126076113,MCCOPPIN ST / VALENCIA ST,SOUTHERN,NONE,22:15,-122.422526328922,37.771596206910296,2012-06-04 22:15:00,3,060750202001014
104203,ROBBERY,12/05/2012,Wednesday,"ROBBERY ON THE STREET, STRONGARM",120982364,500 Block of ELLIS ST,TENDERLOIN,NONE,19:05,-122.41443173916099,37.784623906909104,2012-12-05 19:05:00,4,060750124012000
72857,LARCENY/THEFT,06/12/2012,Tuesday,GRAND THEFT FROM LOCKED AUTO,126086128,100 Block of FELL ST,NORTHERN,NONE,15:00,-122.42067602835199,37.7762540028806,2012-06-12 15:00:00,5,060750162002000
116301,WARRANTS,12/06/2012,Thursday,ENROUTE TO OUTSIDE JURISDICTION,120983221,4700 Block of 3RD ST,BAYVIEW,"ARREST, BOOKED",05:08,-122.390494983818,37.735495559979,2012-12-06 05:08:00,6,060750612001026
72933,VEHICLE THEFT,08/19/2012,Sunday,STOLEN AUTOMOBILE,120661944,400 Block of 24TH AV,RICHMOND,NONE,21:00,-122.483783527885,37.781200755221,2012-08-19 21:00:00,7,060750427002000
24131,LARCENY/THEFT,03/19/2012,Monday,PETTY THEFT OF PROPERTY,120224451,0 Block of PHELAN AV,INGLESIDE,NONE,15:10,-122.45230190572501,37.72429167619661,2012-03-19 15:10:00,8,060750311003013
63148,ROBBERY,07/28/2012,Saturday,"ROBBERY, BODILY FORCE",120594953,700 Block of HARRISON ST,SOUTHERN,NONE,01:30,-122.397714916577,37.7822500184705,2012-07-28 01:30:00,9,060750180001000
56477,LARCENY/THEFT,07/05/2012,Thursday,GRAND THEFT FROM LOCKED AUTO,120531494,400 Block of 10TH ST,SOUTHERN,NONE,18:45,-122.410850021539,37.7712831388236,2012-07-05 18:45:00,10,060750180002035
61726,WARRANTS,07/23/2012,Monday,WARRANT ARREST,120581427,0 Block of BLUXOME ST,SOUTHERN,"ARREST, BOOKED",16:48,-122.396572759484,37.7770932019301,2012-07-23 16:48:00,11,060750180001032
104026,LARCENY/THEFT,11/18/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,126194492,500 Block of RANDOLPH ST,TARAVAL,NONE,08:00,-122.46723916248399,37.714162594376,2012-11-18 08:00:00,12,060750313022013
29664,OTHER OFFENSES,04/10/2012,Tuesday,POSSESSION OF BURGLARY TOOLS,120283269,100 Block of 8TH ST,SOUTHERN,"ARREST, BOOKED",00:25,-122.425165138657,37.745432908065204,2012-04-10 00:25:00,13,060750215002003
76541,VEHICLE THEFT,09/01/2012,Saturday,STOLEN AUTOMOBILE,120701697,MANGELS AV / FOERSTER ST,INGLESIDE,NONE,20:00,-122.448874417153,37.7330689180382,2012-09-01 20:00:00,14,060750307003007
21400,WARRANTS,03/13/2012,Tuesday,ENROUTE TO PAROLE OFFICER,120207974,0 Block of GROVE ST,TENDERLOIN,"ARREST, BOOKED",15:23,-122.415859883111,37.7787163114488,2012-03-13 15:23:00,15,060750124021006
9073,WARRANTS,02/01/2012,Wednesday,ENROUTE TO DEPARTMENT OF CORRECTIONS,120090741,100 Block of DIAMOND ST,MISSION,"ARREST, BOOKED",22:29,-122.437232945663,37.7597188510268,2012-02-01 22:29:00,16,060750205002002
50689,ASSAULT,06/13/2012,Wednesday,THREATS AGAINST LIFE,120466960,2400 Block of SACRAMENTO ST,NORTHERN,NONE,09:30,-122.43321821701299,37.78990480189,2012-06-13 09:30:00,17,060750135002005
119375,ASSAULT,12/31/2012,Monday,BATTERY,121051615,500 Block of 14TH ST,MISSION,NONE,04:15,-122.42463208354499,37.767882084621704,2012-12-31 04:15:00,18,060750202002003
76715,OTHER OFFENSES,09/11/2012,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",120729536,800 Block of BRYANT ST,SOUTHERN,"ARREST, CITED",19:50,-122.403742962696,37.7752316978114,2012-09-11 19:50:00,19,060750180002006
96874,ASSAULT,11/12/2012,Monday,THREATS AGAINST LIFE,120915876,1500 Block of GREAT HY,TARAVAL,NONE,10:30,-122.508932996621,37.7580799409224,2012-11-12 10:30:00,20,060750352014005
6963,LARCENY/THEFT,01/21/2012,Saturday,GRAND THEFT FROM LOCKED AUTO,120056721,1300 Block of FILLMORE ST,NORTHERN,NONE,10:30,-122.43245827809099,37.7818527315974,2012-01-21 10:30:00,21,060750159002007
6552,DRUG/NARCOTIC,01/24/2012,Tuesday,PLANTING/CULTIVATING MARIJUANA,120064558,400 Block of 47TH AV,RICHMOND,NONE,08:30,-122.50826750402,37.779153279282106,2012-01-24 08:30:00,22,060750479021005
29869,LARCENY/THEFT,04/09/2012,Monday,PETTY THEFT OF PROPERTY,120283974,JERROLD AV / PHELPS ST,BAYVIEW,NONE,15:00,-122.391269032991,37.7398531385192,2012-04-09 15:00:00,23,060759809001106
41904,OTHER OFFENSES,05/19/2012,Saturday,RESISTING ARREST,120398363,800 Block of BRYANT ST,SOUTHERN,"ARREST, CITED",19:15,-122.403742962696,37.7752316978114,2012-05-19 19:15:00,24,060750180002006
90338,VEHICLE THEFT,10/17/2012,Wednesday,STOLEN TRUCK,120838331,6200 Block of FULTON ST,RICHMOND,NONE,19:00,-122.498471009459,37.7719498037882,2012-10-17 19:00:00,25,060750479014000
286,WARRANTS,01/02/2012,Monday,WARRANT ARREST,120003073,2400 Block of BAY SHORE BL,INGLESIDE,"ARREST, BOOKED",04:30,-122.40381009616101,37.7110406572455,2012-01-02 04:30:00,26,060750610002027
24242,SUSPICIOUS OCC,03/21/2012,Wednesday,SUSPICIOUS OCCURRENCE,120231860,200 Block of INTERSTATE80 HY,SOUTHERN,NONE,18:30,-122.37074092694799,37.8170463264224,2012-03-21 18:30:00,27,060750179021001
42338,LARCENY/THEFT,05/14/2012,Monday,GRAND THEFT OF PROPERTY,126066108,2100 Block of FULTON ST,PARK,NONE,12:30,-122.45187961451,37.775143931045605,2012-05-14 12:30:00,28,060750157004004
78255,VEHICLE THEFT,09/08/2012,Saturday,STOLEN MOTORCYCLE,120722239,1400 Block of INDIANA ST,BAYVIEW,NONE,22:30,-122.390624918009,37.752469977645504,2012-09-08 22:30:00,29,060759809001009
36394,NON-CRIMINAL,04/28/2012,Saturday,LOST PROPERTY,120342398,800 Block of BRYANT ST,SOUTHERN,NONE,02:00,-122.403742962696,37.7752316978114,2012-04-28 02:00:00,30,060750180002006
30190,OTHER OFFENSES,04/01/2012,Sunday,LOST/STOLEN LICENSE PLATE,120279763,2700 Block of SACRAMENTO ST,RICHMOND,NONE,09:00,-122.437505636317,37.7892851821879,2012-04-01 09:00:00,31,060750134001004
112774,MISSING PERSON,08/07/2012,Tuesday,FOUND PERSON,120624174,100 Block of JOHNFKENNEDY DR,PARK,LOCATED,09:36,-122.456866495245,37.7710282062059,2012-08-07 09:36:00,32,060759803001043
20102,ASSAULT,03/11/2012,Sunday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,120203201,400 Block of VALENCIA ST,MISSION,"ARREST, BOOKED",20:30,-122.421934044465,37.765827456008,2012-03-11 20:30:00,33,060750201004005
21497,MISSING PERSON,03/13/2012,Tuesday,MISSING ADULT,120210018,100 Block of WOOD ST,RICHMOND,NONE,16:00,-122.448875187702,37.7815003413308,2012-03-13 16:00:00,34,060750157003002
111645,ASSAULT,01/12/2012,Thursday,BATTERY,120199826,700 Block of 22ND ST,BAYVIEW,DISTRICT ATTORNEY REFUSES TO PROSECUTE,09:00,-122.388631081868,37.7579541597522,2012-01-12 09:00:00,35,060750226002003
43234,LARCENY/THEFT,05/11/2012,Friday,GRAND THEFT OF PROPERTY,126065962,4100 Block of 18TH ST,MISSION,NONE,21:30,-122.435236586404,37.7608405871084,2012-05-11 21:30:00,36,060750205002000
91802,LARCENY/THEFT,10/17/2012,Wednesday,PETTY THEFT OF PROPERTY,126164774,CALIFORNIA ST / POLK ST,NORTHERN,NONE,16:00,-122.420691680792,37.790577071053704,2012-10-17 16:00:00,37,060750111002005
78642,MISSING PERSON,09/09/2012,Sunday,FOUND PERSON,120722013,2100 Block of GROVE ST,PARK,LOCATED,09:15,-122.452095969548,37.774097199647706,2012-09-09 09:15:00,38,060750165004002
104824,LARCENY/THEFT,11/21/2012,Wednesday,PETTY THEFT FROM A BUILDING,120956795,300 Block of FULTON ST,NORTHERN,NONE,18:00,-122.42274832074499,37.7787132855751,2012-11-21 18:00:00,39,060750162001002
23,NON-CRIMINAL,01/01/2012,Sunday,LOST PROPERTY,126000457,HARRISON ST / 2ND ST,SOUTHERN,NONE,16:40,-122.39516315448799,37.7843096998676,2012-01-01 16:40:00,40,060750615002016
99740,ROBBERY,11/20/2012,Tuesday,"ROBBERY, BODILY FORCE",120946025,2600 Block of GEARY BL,PARK,NONE,14:30,-122.44584637831998,37.782519330938705,2012-11-20 14:30:00,41,060750154003000
75196,NON-CRIMINAL,08/27/2012,Monday,"DEATH REPORT, CAUSE UNKNOWN",120683512,400 Block of PIERCE ST,PARK,NONE,15:29,-122.434072199043,37.77356838248279,2012-08-27 15:29:00,42,060750164001009
118063,OTHER OFFENSES,12/26/2012,Wednesday,PAROLE VIOLATION,121038497,LEAVENWORTH ST / GOLDEN GATE AV,TENDERLOIN,"ARREST, BOOKED",13:48,-122.413869632554,37.7818621883021,2012-12-26 13:48:00,43,060750124021000
12634,NON-CRIMINAL,02/13/2012,Monday,"AIDED CASE, MENTAL DISTURBED",120123574,0 Block of 7TH ST,SOUTHERN,NONE,14:20,-122.41249480934201,37.7803038011184,2012-02-13 14:20:00,44,060750176013001
115597,MISSING PERSON,04/01/2012,Sunday,MISSING ADULT,120904744,1500 Block of 25TH AV,TARAVAL,LOCATED,12:00,-122.483151473999,37.759496921876,2012-04-01 12:00:00,45,060750326022006
54736,DRUG/NARCOTIC,07/02/2012,Monday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,120519973,GOLDEN GATE AV / HYDE ST,TENDERLOIN,"ARREST, BOOKED",09:32,-122.415508242782,37.7816542806075,2012-07-02 09:32:00,46,060750124011002
118233,NON-CRIMINAL,12/27/2012,Thursday,AIDED CASE,121040191,JUDAH ST / 25TH AV,TARAVAL,NONE,04:12,-122.483423075911,37.7614151950915,2012-12-27 04:12:00,47,060750326013006
46604,NON-CRIMINAL,06/01/2012,Friday,AIDED CASE,120434531,1200 Block of 11TH AV,TARAVAL,NONE,15:48,-122.46852265472799,37.7655785020592,2012-06-01 15:48:00,48,060750302021005
96072,OTHER OFFENSES,11/10/2012,Saturday,MISCELLANEOUS INVESTIGATION,120911727,0 Block of ROCKRIDGE DR,TARAVAL,NONE,21:06,-122.469768588633,37.750862835803,2012-11-10 21:06:00,49,060750303022005
97600,LARCENY/THEFT,11/05/2012,Monday,GRAND THEFT FROM LOCKED AUTO,126175442,3000 Block of 26TH ST,MISSION,NONE,15:30,-122.410058893125,37.7495606347429,2012-11-05 15:30:00,50,060750229022001
78523,LARCENY/THEFT,09/17/2012,Monday,GRAND THEFT PURSESNATCH,120746574,100 Block of TERRAVISTA AV,PARK,NONE,16:10,-122.44467858931101,37.7811530353589,2012-09-17 16:10:00,51,060750157001005
99933,LARCENY/THEFT,11/20/2012,Tuesday,GRAND THEFT FROM LOCKED AUTO,120940782,1000 Block of POINTLOBOS AV,RICHMOND,NONE,12:45,-122.512538760234,37.777202958359496,2012-11-20 12:45:00,52,060750479012003
70113,RUNAWAY,07/10/2012,Tuesday,RUNAWAY,120546807,200 Block of 14TH ST,MISSION,LOCATED,20:00,-122.419050959489,37.7682951713901,2012-07-10 20:00:00,53,060750201003001
81171,BURGLARY,09/26/2012,Wednesday,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",120772193,100 Block of BROOKDALE AV,INGLESIDE,JUVENILE BOOKED,12:50,-122.421279152762,37.712175162350505,2012-09-26 12:50:00,54,060750605022001
120180,BURGLARY,02/29/2012,Wednesday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",130003364,1400 Block of GEARY BL,NORTHERN,NONE,09:00,-122.42647904296001,37.785181465387,2012-02-29 09:00:00,55,060750159001000
70436,LARCENY/THEFT,08/10/2012,Friday,PETTY THEFT OF PROPERTY,126117858,800 Block of MCALLISTER ST,NORTHERN,NONE,22:30,-122.425255052324,37.7795689513186,2012-08-10 22:30:00,56,060750161001002
89843,WARRANTS,10/18/2012,Thursday,WARRANT ARREST,120839975,2000 Block of MARKET ST,MISSION,"ARREST, BOOKED",15:00,-122.42689311401199,37.7691618401946,2012-10-18 15:00:00,57,060750202001015
99317,LARCENY/THEFT,11/20/2012,Tuesday,GRAND THEFT FROM LOCKED AUTO,120941940,5TH ST / MISSION ST,SOUTHERN,NONE,20:15,-122.406481972743,37.782731788488704,2012-11-20 20:15:00,58,060750176011007
110253,VANDALISM,12/19/2012,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",121021464,900 Block of STOCKTON ST,CENTRAL,NONE,15:30,-122.408139182594,37.7945246431459,2012-12-19 15:30:00,59,060750113002001
39093,OTHER OFFENSES,05/08/2012,Tuesday,TRAFFIC VIOLATION,120365453,100 Block of JOHNFKENNEDY DR,PARK,"ARREST, CITED",11:40,-122.45797088697901,37.7711809006293,2012-05-08 11:40:00,60,060759803001043
22730,SUSPICIOUS OCC,03/18/2012,Sunday,SUSPICIOUS OCCURRENCE,120221429,200 Block of LIBERTY ST,MISSION,NONE,13:40,-122.42677720727501,37.75747491096529,2012-03-18 13:40:00,61,060750206002000
120704,FRAUD,12/31/2012,Monday,"CREDIT CARD, THEFT BY USE OF",130094147,300 Block of 7TH AV,RICHMOND,NONE,16:00,-122.46558429179501,37.7822336899644,2012-12-31 16:00:00,62,060750402001007
84019,NON-CRIMINAL,10/05/2012,Friday,AIDED CASE,120800766,1200 Block of SAN BRUNO AV,MISSION,NONE,21:20,-122.404245271555,37.7533145220395,2012-10-05 21:20:00,63,060750229032001
56696,OTHER OFFENSES,07/08/2012,Sunday,OPERATING WITHOUT DANCEHALL PERMIT,120537351,2000 Block of BRYANT ST,MISSION,NONE,03:19,-122.410099541551,37.761108080343,2012-07-08 03:19:00,64,060750228011018
29194,FRAUD,04/07/2012,Saturday,"CREDIT CARD, THEFT BY USE OF",120278862,1300 Block of POLK ST,NORTHERN,NONE,23:15,-122.42026712952699,37.7887112896776,2012-04-07 23:15:00,65,060750111003006
68304,ASSAULT,08/15/2012,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,120647104,0 Block of 4TH ST,SOUTHERN,NONE,02:20,-122.404866350443,37.785011293812204,2012-08-15 02:20:00,66,060750615001032
101118,WARRANTS,11/27/2012,Tuesday,WARRANT ARREST,120960097,800 Block of BRYANT ST,SOUTHERN,"ARREST, BOOKED",20:36,-122.403742962696,37.7752316978114,2012-11-27 20:36:00,67,060750180002006
2862,OTHER OFFENSES,01/12/2012,Thursday,RESISTING ARREST,120030963,LOMBARD ST / BUCHANAN ST,NORTHERN,"ARREST, BOOKED",00:50,-122.43276436561199,37.8002576984272,2012-01-12 00:50:00,68,060750129023008
68440,NON-CRIMINAL,08/14/2012,Tuesday,FOUND PROPERTY,120644887,400 Block of 6TH AV,RICHMOND,NONE,10:00,-122.464241709387,37.7798418171799,2012-08-14 10:00:00,69,060750452001001
47905,VEHICLE THEFT,05/16/2012,Wednesday,STOLEN TRUCK,120391317,2200 Block of 39TH AV,TARAVAL,NONE,17:00,-122.486702736274,37.746277518419205,2012-05-16 17:00:00,70,060750329013001
102249,DISORDERLY CONDUCT,11/30/2012,Friday,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION,120968609,STANYAN ST / HAIGHT ST,PARK,"ARREST, BOOKED",20:01,-122.45353456066002,37.76916629780521,2012-11-30 20:01:00,71,060750166003002
1589,MISSING PERSON,01/03/2012,Tuesday,FOUND PERSON,120008192,0 Block of LEDYARD ST,BAYVIEW,NONE,10:00,-122.402642108777,37.733801202944704,2012-01-03 10:00:00,72,060750230013001
47465,OTHER OFFENSES,05/14/2012,Monday,LOST/STOLEN LICENSE PLATE,120438696,2200 Block of 23RD ST,BAYVIEW,NONE,14:00,-122.40205794739201,37.7546525825829,2012-05-14 14:00:00,73,060750614003005
17778,OTHER OFFENSES,03/04/2012,Sunday,SALE OF SATELLITE TELEPHONE NUMBER,120180251,MARINA BL / LAGUNA ST,NORTHERN,NONE,02:50,-122.432073077885,37.8052217044166,2012-03-04 02:50:00,74,060750126022000
