,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
79669,FORGERY/COUNTERFEITING,09/22/2012,Saturday,"CHECKS, POSSESSION WITH INTENT TO PASS",120761516,2000 Block of MARKET ST,MISSION,"ARREST, BOOKED",16:02,-122.42689311401199,37.7691618401946,2012-09-22 16:02:00,0,060750202001015
115898,VEHICLE THEFT,11/21/2012,Wednesday,STOLEN AUTOMOBILE,120942700,1100 Block of MUNICH ST,INGLESIDE,NONE,05:37,-122.436087053282,37.710859555834396,2012-11-21 05:37:00,1,060750263021012
79504,OTHER OFFENSES,09/20/2012,Thursday,PROBATION VIOLATION,120755810,800 Block of COLUMBUS AV,CENTRAL,"ARREST, BOOKED",15:10,-122.413390540307,37.8024693930466,2012-09-20 15:10:00,2,060750103001010
63383,LARCENY/THEFT,07/29/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,126106867,3RD ST / BRYANT ST,SOUTHERN,NONE,16:03,-122.395848299154,37.7813210474369,2012-07-29 16:03:00,3,060750180001004
75721,FRAUD,03/02/2012,Friday,"CREDIT CARD, THEFT BY USE OF",120260706,800 Block of GENEVA AV,INGLESIDE,PROSECUTED BY OUTSIDE AGENCY,09:32,-122.441344463067,37.7171035328655,2012-03-02 09:32:00,4,060750261002020
75555,NON-CRIMINAL,09/07/2012,Friday,"AIDED CASE, MENTAL DISTURBED",120717456,300 Block of GOLDEN GATE AV,TENDERLOIN,PSYCHOPATHIC CASE,17:17,-122.416998597158,37.7814990725189,2012-09-07 17:17:00,5,060750124011002
84300,LARCENY/THEFT,09/23/2012,Sunday,GRAND THEFT AUTO STRIP,126148784,0 Block of CHABOT TR,RICHMOND,NONE,12:00,-122.45150452503599,37.7776498785542,2012-09-23 12:00:00,6,060750157003011
113800,ROBBERY,09/05/2012,Wednesday,"ROBBERY ON THE STREET, STRONGARM",120710115,1000 Block of MARKET ST,SOUTHERN,NONE,10:50,-122.41034851753099,37.782234466771705,2012-09-05 10:50:00,7,060750125011004
114819,DRUG/NARCOTIC,10/01/2012,Monday,POSSESSION OF METH-AMPHETAMINE,120788344,ELLIS ST / TAYLOR ST,TENDERLOIN,"ARREST, BOOKED",20:27,-122.411141948101,37.7850736197499,2012-10-01 20:27:00,8,060750125021000
65868,ASSAULT,07/26/2012,Thursday,STALKING,120621346,2500 Block of FOLSOM ST,MISSION,NONE,16:30,-122.414455216207,37.755943563388705,2012-07-26 16:30:00,9,060750228031002
60851,ASSAULT,07/20/2012,Friday,AGGRAVATED ASSAULT WITH BODILY FORCE,120573929,100 Block of JOHNFKENNEDY DR,PARK,NONE,19:00,-122.45755345924299,37.771200706546395,2012-07-20 19:00:00,10,060759803001043
87931,LARCENY/THEFT,10/10/2012,Wednesday,GRAND THEFT OF PROPERTY,126157070,900 Block of POTRERO AV,MISSION,NONE,17:15,-122.40676042365801,37.7569992228185,2012-10-10 17:15:00,11,060750228022006
74684,LARCENY/THEFT,08/30/2012,Thursday,GRAND THEFT FROM LOCKED AUTO,126129596,0 Block of BRUCE AV,TARAVAL,NONE,20:00,-122.45280732428199,37.7220882609755,2012-08-30 20:00:00,12,060750312011005
103806,WEAPON LAWS,12/05/2012,Wednesday,CARRYING A CONCEALED WEAPON,120981651,4TH ST / BLUXOME ST,SOUTHERN,"ARREST, BOOKED",15:00,-122.395745472984,37.777699540521105,2012-12-05 15:00:00,13,060750180001010
15098,BURGLARY,02/12/2012,Sunday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",120146849,800 Block of MINNESOTA ST,BAYVIEW,NONE,22:00,-122.390407188011,37.7603524411678,2012-02-12 22:00:00,14,060750226001027
100959,ASSAULT,11/26/2012,Monday,INFLICT INJURY ON COHABITEE,120955270,1500 Block of KIRKWOOD AV,BAYVIEW,NONE,08:00,-122.38814003929899,37.7370932265362,2012-11-26 08:00:00,15,060750612001016
14591,BURGLARY,02/20/2012,Monday,"BURGLARY OF STORE, UNLAWFUL ENTRY",120142320,5200 Block of GEARY BL,RICHMOND,NONE,09:45,-122.475961612877,37.7805178508616,2012-02-20 09:45:00,16,060750476001008
68373,PROSTITUTION,08/15/2012,Wednesday,SOLICITS FOR ACT OF PROSTITUTION,120649906,SUTTER ST / LARKIN ST,NORTHERN,"ARREST, CITED",22:30,-122.418467747931,37.7879652569797,2012-08-15 22:30:00,17,060750120002002
55611,LARCENY/THEFT,06/23/2012,Saturday,GRAND THEFT OF PROPERTY,126093236,16TH ST / MISSION ST,MISSION,NONE,01:10,-122.419671780296,37.7650501214668,2012-06-23 01:10:00,18,060750201004002
107585,VANDALISM,10/22/2012,Monday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",120852494,BRANNAN ST / 3RD ST,SOUTHERN,NONE,21:00,-122.39430447519399,37.780090530592396,2012-10-22 21:00:00,19,060750180001005
1689,BURGLARY,01/05/2012,Thursday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",120019359,500 Block of FONT BL,TARAVAL,NONE,09:00,-122.48008535714199,37.71981151393,2012-01-05 09:00:00,20,060750332043010
77024,NON-CRIMINAL,09/11/2012,Tuesday,"DEATH REPORT, CAUSE UNKNOWN",120727518,1600 Block of 22ND AV,TARAVAL,NONE,07:32,-122.490519439287,37.7558888346816,2012-09-11 07:32:00,21,060750327005003
78484,SUSPICIOUS OCC,09/16/2012,Sunday,SUSPICIOUS OCCURRENCE,120745526,OCEAN AV / GENEVA AV,TARAVAL,NONE,20:30,-122.452330120871,37.7230787059359,2012-09-16 20:30:00,22,060750312011002
87213,ROBBERY,10/15/2012,Monday,"ROBBERY ON THE STREET, STRONGARM",120827243,2000 Block of MISSION ST,MISSION,NONE,02:00,-122.419711493032,37.7650232524404,2012-10-15 02:00:00,23,060750201004002
83440,WARRANTS,10/04/2012,Thursday,ENROUTE TO OUTSIDE JURISDICTION,120795054,800 Block of ALABAMA ST,MISSION,"ARREST, BOOKED",02:42,-122.411303811702,37.75766363855261,2012-10-04 02:42:00,24,060750228012006
108998,NON-CRIMINAL,04/21/2012,Saturday,TURNED IN GUN,120316064,400 Block of 6TH AV,RICHMOND,NONE,12:55,-122.464241709387,37.7798418171799,2012-04-21 12:55:00,25,060750452001001
57899,LARCENY/THEFT,07/10/2012,Tuesday,GRAND THEFT OF PROPERTY,120543922,1200 Block of BATTERY ST,CENTRAL,NONE,15:10,-122.40179281228701,37.802978743746706,2012-07-10 15:10:00,26,060750105001009
18375,LARCENY/THEFT,03/01/2012,Thursday,GRAND THEFT FROM LOCKED AUTO,120181447,1100 Block of MARKET ST,SOUTHERN,NONE,23:00,-122.413904928733,37.7793367082423,2012-03-01 23:00:00,27,060750176013000
26385,NON-CRIMINAL,03/23/2012,Friday,"DEATH REPORT, CAUSE UNKNOWN",120247237,700 Block of HYDE ST,CENTRAL,NONE,09:00,-122.416768189764,37.787660432112496,2012-03-23 09:00:00,28,060750120002001
36401,VANDALISM,04/30/2012,Monday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",120342677,1500 Block of UNDERWOOD AV,BAYVIEW,"ARREST, BOOKED",12:43,-122.39010239388399,37.7289319165671,2012-04-30 12:43:00,29,060750232001004
26278,LARCENY/THEFT,03/27/2012,Tuesday,GRAND THEFT FROM LOCKED AUTO,126041310,800 Block of BRYANT ST,SOUTHERN,NONE,14:00,-122.403742962696,37.7752316978114,2012-03-27 14:00:00,30,060750180002006
3474,OTHER OFFENSES,01/04/2012,Wednesday,HARASSING PHONE CALLS,120035769,1100 Block of BATTERY ST,CENTRAL,NONE,17:00,-122.401759540198,37.8018870805312,2012-01-04 17:00:00,31,060750105001011
119273,OTHER OFFENSES,12/30/2012,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",121050554,LANE ST / PALOU AV,BAYVIEW,"ARREST, CITED",17:35,-122.389038124217,37.732919999818,2012-12-30 17:35:00,32,060750232003001
35559,LARCENY/THEFT,04/29/2012,Sunday,PETTY THEFT FROM LOCKED AUTO,120339317,0 Block of HAWTHORNE ST,SOUTHERN,NONE,08:40,-122.398388053356,37.784964398091,2012-04-29 08:40:00,33,060750615002009
103686,DRUG/NARCOTIC,12/04/2012,Tuesday,POSSESSION OF MARIJUANA FOR SALES,120979509,2700 Block of SAN JOSE AV,TARAVAL,"ARREST, BOOKED",18:15,-122.452452195695,37.7138511732276,2012-12-04 18:15:00,34,060750314002006
84644,RUNAWAY,10/06/2012,Saturday,RUNAWAY,120803942,0 Block of LEDYARD ST,BAYVIEW,LOCATED,10:00,-122.402642108777,37.733801202944704,2012-10-06 10:00:00,35,060750230013001
115006,MISSING PERSON,10/12/2012,Friday,MISSING ADULT,120821728,1400 Block of PALOU AV,BAYVIEW,LOCATED,17:30,-122.387626662517,37.732078544905704,2012-10-12 17:30:00,36,060750232003006
80743,WARRANTS,09/17/2012,Monday,WARRANT ARREST,120745247,0 Block of RICO WY,NORTHERN,"ARREST, BOOKED",05:30,-122.43999929554501,37.8051889021573,2012-09-17 05:30:00,37,060750126021019
47898,LARCENY/THEFT,03/24/2012,Saturday,PETTY THEFT FROM A BUILDING,120352143,1300 Block of STEVENSON ST,SOUTHERN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,17:30,-122.421740350875,37.7711014121698,2012-03-24 17:30:00,38,060750201001011
86940,BURGLARY,10/11/2012,Thursday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",120816923,4100 Block of 17TH ST,PARK,NONE,09:35,-122.438061444377,37.7624219207102,2012-10-11 09:35:00,39,060750170002009
41515,SUSPICIOUS OCC,05/16/2012,Wednesday,SUSPICIOUS OCCURRENCE,120389942,600 Block of ELLIS ST,TENDERLOIN,NONE,18:39,-122.41732370800399,37.7842528136323,2012-05-16 18:39:00,40,060750124011000
119645,NON-CRIMINAL,11/26/2012,Monday,LOST PROPERTY,126190456,ALBION ST / 15TH ST,MISSION,NONE,10:40,-122.42328285269,37.766466352311,2012-11-26 10:40:00,41,060750202002007
74162,BURGLARY,09/01/2012,Saturday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",120703392,800 Block of BRYANT ST,SOUTHERN,NONE,17:00,-122.403742962696,37.7752316978114,2012-09-01 17:00:00,42,060750180002006
39767,LOITERING,05/12/2012,Saturday,LOITERING,120376604,500 Block of BROADWAY ST,CENTRAL,NONE,00:01,-122.40590984270901,37.7979284598834,2012-05-12 00:01:00,43,060750106002005
36267,SUSPICIOUS OCC,04/27/2012,Friday,SUSPICIOUS OCCURRENCE,120332850,500 Block of LAIDLEY ST,INGLESIDE,NONE,02:39,-122.43182384283101,37.7355601913726,2012-04-27 02:39:00,44,060750218004000
89673,VANDALISM,10/23/2012,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",120854854,800 Block of BRYANT ST,SOUTHERN,NONE,16:20,-122.403742962696,37.7752316978114,2012-10-23 16:20:00,45,060750180002006
