,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
28302,DRUG/NARCOTIC,04/05/2012,Thursday,POSSESSION OF NARCOTICS PARAPHERNALIA,120270909,0 Block of TURK ST,TENDERLOIN,NONE,09:31,-122.410303507598,37.7832668492725,2012-04-05 09:31:00,0,060750125011000
29224,LARCENY/THEFT,04/08/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,120279923,200 Block of JOHNFSHELLEY DR,INGLESIDE,NONE,18:00,-122.42226400841001,37.7204411575474,2012-04-08 18:00:00,1,060759805011003
118515,BURGLARY,12/28/2012,Friday,"BURGLARY OF STORE, FORCIBLE ENTRY",121042971,1200 Block of 20TH AV,TARAVAL,NONE,04:37,-122.483538654041,37.7636801796655,2012-12-28 04:37:00,2,060750326011011
8802,DRUG/NARCOTIC,01/31/2012,Tuesday,POSSESSION OF CONTROLLED SUBSTANCE,120086455,100 Block of GOLDEN GATE AV,TENDERLOIN,"ARREST, BOOKED",13:48,-122.413024219212,37.7819365490012,2012-01-31 13:48:00,3,060750125011003
3307,LARCENY/THEFT,01/13/2012,Friday,PETTY THEFT SHOPLIFTING,120036024,0 Block of STOCKTON ST,TENDERLOIN,"ARREST, CITED",13:30,-122.405878455823,37.7857422667499,2012-01-13 13:30:00,4,060750117002027
98398,MISSING PERSON,10/31/2012,Wednesday,MISSING ADULT,120881120,0 Block of GROVE ST,NORTHERN,LOCATED,06:00,-122.41668065400499,37.778682901527,2012-10-31 06:00:00,5,060750124022009
79268,LARCENY/THEFT,09/08/2012,Saturday,GRAND THEFT FROM LOCKED AUTO,126136369,WILLOW ST / POLK ST,NORTHERN,NONE,11:15,-122.41927480144899,37.7835680535207,2012-09-08 11:15:00,6,060750124023001
112319,LARCENY/THEFT,07/18/2012,Wednesday,GRAND THEFT FROM PERSON,120566491,5TH ST / MISSION ST,SOUTHERN,NONE,11:30,-122.406481972743,37.782731788488704,2012-07-18 11:30:00,7,060750176011007
65790,WARRANTS,08/05/2012,Sunday,WARRANT ARREST,120619153,1400 Block of MENDELL ST,BAYVIEW,"ARREST, BOOKED",13:16,-122.390433304546,37.734445365774896,2012-08-05 13:16:00,8,060750612001029
62660,OTHER OFFENSES,07/25/2012,Wednesday,TRAFFIC VIOLATION,120587481,CORTLAND AV / BOCANA ST,INGLESIDE,"ARREST, CITED",16:25,-122.418584530851,37.7392989090618,2012-07-25 16:25:00,9,060750253002008
