,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
75683,TRESPASS,09/05/2012,Wednesday,TRESPASSING,120721366,1600 Block of LASALLE AV,BAYVIEW,NONE,18:00,-122.39010832145,37.7371730525755,2012-09-05 18:00:00,0,060750612002012
33698,TRESPASS,04/17/2012,Tuesday,TRESPASSING,120303958,1100 Block of CLAY ST,CENTRAL,"ARREST, BOOKED",11:57,-122.412814236916,37.7934008232875,2012-04-17 11:57:00,1,060750112002001
111979,ROBBERY,06/26/2012,Tuesday,"ROBBERY, BODILY FORCE",120502445,100 Block of JACKSON ST,CENTRAL,UNFOUNDED,11:25,-122.39885925150601,37.796983827059606,2012-06-26 11:25:00,2,060750105002012
118943,WARRANTS,12/29/2012,Saturday,ENROUTE TO PAROLE OFFICER,121047363,HYDE ST / TURK ST,TENDERLOIN,"ARREST, BOOKED",16:00,-122.415694922134,37.7825851968467,2012-12-29 16:00:00,3,060750124011001
105795,OTHER OFFENSES,12/10/2012,Monday,POSSESSION OF BURGLARY TOOLS,120996149,3200 Block of 20TH AV,TARAVAL,"ARREST, BOOKED",17:06,-122.476011600296,37.729091012553894,2012-12-10 17:06:00,4,060750332011010
23122,ASSAULT,03/18/2012,Sunday,BATTERY,120222659,1400 Block of SHAFTER AV,BAYVIEW,"ARREST, BOOKED",21:30,-122.38729784753201,37.72905618548371,2012-03-18 21:30:00,5,060750232001010
112985,NON-CRIMINAL,07/19/2012,Thursday,LOST PROPERTY,120645465,MARKET ST / CASTRO ST,MISSION,NONE,23:00,-122.435187699349,37.7626702770872,2012-07-19 23:00:00,6,060750205001009
109411,DRUG/NARCOTIC,04/25/2012,Wednesday,POSSESSION OF CONTROLLED SUBSTANCE,120327776,100 Block of 6TH ST,SOUTHERN,NONE,13:47,-122.408626028337,37.780855885303396,2012-04-25 13:47:00,7,060750176012003
65890,TRESPASS,08/06/2012,Monday,TRESPASSING,120622178,1800 Block of 25TH ST,BAYVIEW,"ARREST, CITED",16:00,-122.397061508134,37.752312055523504,2012-08-06 16:00:00,8,060750614001018
37836,OTHER OFFENSES,05/05/2012,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",120357466,800 Block of BRYANT ST,SOUTHERN,"ARREST, BOOKED",14:30,-122.403742962696,37.7752316978114,2012-05-05 14:30:00,9,060750180002006
43836,NON-CRIMINAL,05/26/2012,Saturday,"AIDED CASE, MENTAL DISTURBED",120417991,300 Block of ARBALLO DR,TARAVAL,PSYCHOPATHIC CASE,15:00,-122.48306140395799,37.7210013236871,2012-05-26 15:00:00,10,060750332043007
53817,WARRANTS,06/27/2012,Wednesday,ENROUTE TO DEPARTMENT OF CORRECTIONS,120504918,3000 Block of 16TH ST,MISSION,"ARREST, BOOKED",02:29,-122.41170720895,37.7603498623975,2012-06-27 02:29:00,11,060750228012004
117798,OTHER OFFENSES,12/24/2012,Monday,RESISTING ARREST,121035681,3400 Block of RIVERA ST,TARAVAL,"ARREST, BOOKED",18:45,-122.503093501238,37.7455469838634,2012-12-24 18:45:00,12,060750354002007
8370,FRAUD,01/30/2012,Monday,FALSE ID TO PEACE OFFICER,120084318,4700 Block of MISSION ST,INGLESIDE,"ARREST, BOOKED",16:14,-122.436305470292,37.7226184215369,2012-01-30 16:14:00,13,060750260012011
82752,WARRANTS,08/18/2012,Saturday,WARRANT ARREST,120658753,400 Block of BROADWAY ST,CENTRAL,"ARREST, BOOKED",23:56,-122.404379666511,37.7980459748038,2012-08-18 23:56:00,14,060750106002006
78459,OTHER OFFENSES,09/17/2012,Monday,PROBATION VIOLATION,120745087,1400 Block of SUTTER ST,NORTHERN,"ARREST, BOOKED",03:43,-122.42441284232599,37.787244571729495,2012-09-17 03:43:00,15,060750151001009
108026,ROBBERY,12/16/2012,Sunday,ROBBERY OF A RESIDENCE WITH A KNIFE,121011697,0 Block of KAPLAN LN,SOUTHERN,NONE,04:00,-122.39869420850401,37.7848435568016,2012-12-16 04:00:00,16,060750615002009
20827,LARCENY/THEFT,02/20/2012,Monday,GRAND THEFT OF PROPERTY,126028556,800 Block of BRYANT ST,SOUTHERN,NONE,16:15,-122.403742962696,37.7752316978114,2012-02-20 16:15:00,17,060750180002006
82306,BURGLARY,09/05/2012,Wednesday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",120711351,2100 Block of BRODERICK ST,RICHMOND,NONE,09:15,-122.442626991007,37.789704886974796,2012-09-05 09:15:00,18,060750134003005
93845,NON-CRIMINAL,11/04/2012,Sunday,FOUND PROPERTY,120891630,LEXINGTON ST / 19TH ST,MISSION,NONE,07:30,-122.42066265998999,37.760147204235295,2012-11-04 07:30:00,19,060750208003003
120013,NON-CRIMINAL,11/30/2012,Friday,LOST PROPERTY,126206746,100 Block of COLLEGE AV,INGLESIDE,NONE,00:38,-122.42562676143999,37.7354385105749,2012-11-30 00:38:00,20,060750254031003
83124,OTHER OFFENSES,10/02/2012,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",120790480,LANE ST / UNDERWOOD AV,BAYVIEW,"ARREST, CITED",15:45,-122.391853305123,37.7297872912872,2012-10-02 15:45:00,21,060750232001002
43909,SUSPICIOUS OCC,05/24/2012,Thursday,SUSPICIOUS OCCURRENCE,120411056,100 Block of CAMBON DR,TARAVAL,NONE,01:30,-122.474234473684,37.716880626707,2012-05-24 01:30:00,22,060750332031000
101322,LARCENY/THEFT,11/24/2012,Saturday,GRAND THEFT FROM LOCKED AUTO,126187629,VANNESS AV / GROVE ST,NORTHERN,NONE,20:00,-122.41988493945699,37.7782510832411,2012-11-24 20:00:00,23,060750162001000
105538,VEHICLE THEFT,10/28/2012,Sunday,STOLEN AND RECOVERED VEHICLE,120882366,16TH AV / QUINTARA ST,TARAVAL,NONE,09:00,-122.47287348026501,37.748785935713,2012-10-28 09:00:00,24,060750304003007
48479,NON-CRIMINAL,06/08/2012,Friday,FOUND PROPERTY,120452301,MASON ST / MARKET ST,SOUTHERN,NONE,11:30,-122.408953598279,37.783287873572,2012-06-08 11:30:00,25,060750125011000
11337,WARRANTS,02/08/2012,Wednesday,WARRANT ARREST,120109126,2000 Block of MISSION ST,MISSION,"ARREST, BOOKED",12:09,-122.419658956085,37.7644776786239,2012-02-08 12:09:00,26,060750201004002
77571,WEAPON LAWS,09/14/2012,Friday,LOITERING WHILE CARRYING CONCEALED WEAPON,120739325,2000 Block of MISSION ST,MISSION,"ARREST, BOOKED",21:30,-122.41964655279499,37.7643487573176,2012-09-14 21:30:00,27,060750201004002
32444,MISSING PERSON,03/10/2012,Saturday,FOUND PERSON,120200489,0 Block of LEDYARD ST,BAYVIEW,LOCATED,19:00,-122.402642108777,37.733801202944704,2012-03-10 19:00:00,28,060750230013001
90926,NON-CRIMINAL,10/26/2012,Friday,"AIDED CASE, MENTAL DISTURBED",120862891,1900 Block of SAN JOSE AV,INGLESIDE,"ARREST, CITED",06:58,-122.442882271206,37.7251453490611,2012-10-26 06:58:00,29,060750255005008
106191,LARCENY/THEFT,10/17/2012,Wednesday,ATTEMPTED THEFT FROM A BUILDING,120834646,100 Block of 8TH ST,SOUTHERN,NONE,09:30,-122.413122860332,37.7774738314095,2012-10-17 09:30:00,30,060750176013010
16137,VEHICLE THEFT,01/24/2012,Tuesday,STOLEN AUTOMOBILE,120067875,HENRY ST / SANCHEZ ST,PARK,NONE,20:00,-122.431115159344,37.766797031321396,2012-01-24 20:00:00,31,060750169001005
121691,WARRANTS,02/12/2012,Sunday,WARRANT ARREST,120119034,100 Block of OFARRELL ST,TENDERLOIN,"ARREST, BOOKED",20:10,-122.406775763713,37.786533757694,2012-02-12 20:10:00,32,060750117002027
