,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
78884,OTHER OFFENSES,09/18/2012,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",120750428,OFARRELL ST / TAYLOR ST,TENDERLOIN,"ARREST, CITED",22:10,-122.41132836931101,37.785996305047604,2012-09-18 22:10:00,0,060750123022005
56885,BURGLARY,06/12/2012,Tuesday,"BURGLARY,RESIDENCE UNDER CONSTRT, ATT. FORCIBLE",120530941,0 Block of LUCY ST,BAYVIEW,NONE,17:45,-122.393378221889,37.7301075419817,2012-06-12 17:45:00,1,060750230032005
12053,ASSAULT,02/12/2012,Sunday,BATTERY,120120417,300 Block of LAGUNAHONDA BL,PARK,NONE,10:15,-122.45872776248001,37.7476529854373,2012-02-12 10:15:00,2,060750304001013
107524,VANDALISM,12/15/2012,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",121008848,SANSOME ST / BROADWAY ST,CENTRAL,NONE,02:45,-122.40223245422199,37.7984302773598,2012-12-15 02:45:00,3,060750106002000
19178,LARCENY/THEFT,03/06/2012,Tuesday,PETTY THEFT FROM LOCKED AUTO,120188164,0 Block of RHODEISLAND ST,SOUTHERN,NONE,21:00,-122.402996192448,37.7698149759713,2012-03-06 21:00:00,4,060750607002024
65721,MISSING PERSON,08/05/2012,Sunday,MISSING ADULT,120617919,200 Block of MASON ST,TENDERLOIN,LOCATED,00:01,-122.409501484443,37.7855032625541,2012-08-05 00:01:00,5,060750123011002
60745,OTHER OFFENSES,07/20/2012,Friday,TRAFFIC VIOLATION,120572329,9TH AV / LAKE ST,RICHMOND,"ARREST, CITED",12:10,-122.46789869896901,37.78653253219721,2012-07-20 12:10:00,6,060750402004000
22090,NON-CRIMINAL,03/14/2012,Wednesday,AIDED CASE,120209550,MISSION ST / NEWMONTGOMERY ST,SOUTHERN,NONE,03:29,-122.40050441968,37.787451328966206,2012-03-14 03:29:00,7,060750615001038
93861,DRUG/NARCOTIC,11/04/2012,Sunday,POSSESSION OF MARIJUANA FOR SALES,120891931,700 Block of STANYAN ST,PARK,"ARREST, BOOKED",10:27,-122.453573538836,37.7691473630278,2012-11-04 10:27:00,8,060759803001047
28462,DRUG/NARCOTIC,04/04/2012,Wednesday,POSSESSION OF NARCOTICS PARAPHERNALIA,120266914,300 Block of FERN ST,NORTHERN,"ARREST, CITED",02:00,-122.424264735306,37.7876742242735,2012-04-04 02:00:00,9,060750151001009
6057,VEHICLE THEFT,01/21/2012,Saturday,STOLEN AUTOMOBILE,120058250,1400 Block of PALOU AV,BAYVIEW,NONE,14:00,-122.388667680359,37.73257498061471,2012-01-21 14:00:00,10,060750232003006
96113,ASSAULT,11/11/2012,Sunday,THREATS AGAINST LIFE,120913353,2000 Block of GREAT HY,TARAVAL,NONE,12:30,-122.507674881403,37.7474268478803,2012-11-11 12:30:00,11,060750354001002
11768,OTHER OFFENSES,02/08/2012,Wednesday,PROBATION VIOLATION,120108156,1800 Block of SUNNYDALE AV,INGLESIDE,JUVENILE BOOKED,07:51,-122.419992714221,37.7129566094285,2012-02-08 07:51:00,12,060750605021000
81286,WARRANTS,09/27/2012,Thursday,WARRANT ARREST,120774490,800 Block of BRYANT ST,SOUTHERN,"ARREST, BOOKED",09:32,-122.403675173997,37.7751775060199,2012-09-27 09:32:00,13,060750180002006
